Altium Designer Pick and Place Locations
C:\Users\E4052\Classes\7thSem\ECEN403\PCB\Lidar_MCU_3\Lidar_MCU_3\Project Outputs for Lidar_MCU_3\Pick Place for Lidar_MCU_PCB_3.csv

========================================================================================================================
File Design Information:

Date:       04/11/25
Time:       16:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","CC0402JRNPO9BN101","TopLayer","CAP_CC0402_YAG","113,2500","78,2500","180","CAPACITOR; SMT (0402); CERAMIC CHIP; 100PF; 50V; TOL=5%; TG=-55 DEGC TO +125 DEGC; TC=C0G"
"C2","2.2uF","TopLayer","CAP_CL10_SAM","100,5000","68,0000","180","CL10B225KP8NNNC"
"C3","2.2uF","TopLayer","CAP_CL10_SAM","106,0000","83,7501","270","CL10B225KP8NNNC"
"C4","4.7uF","TopLayer","LMK107_TAY","84,1500","82,4000","90","LMK107BJ475MAHT"
"C5","100nF","TopLayer","CAPC10555_55N_KEM","90,3896","68,2599","0","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C6","100nF","TopLayer","CAPC10555_55N_KEM","102,5984","68,7500","0","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C7","100nF","TopLayer","CAPC10555_55N_KEM","104,5000","85,2500","180","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C8","100nF","TopLayer","CAPC10555_55N_KEM","89,7500","87,7500","180","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C9","100nF","TopLayer","CAPC10555_55N_KEM","85,7500","81,2500","90","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C10","100nF","TopLayer","CAPC10555_55N_KEM","85,7500","79,5000","270","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C11","100nF","TopLayer","CAPC10555_55N_KEM","85,7500","75,5000","270","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C12","100nF","TopLayer","CAPC10555_55N_KEM","85,7500","73,7500","90","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C13","4.7uF","TopLayer","CAP_CL10_SAM","109,5610","74,2440","0","No Description Available"
"C14","100nF","TopLayer","CAPC10555_55N_KEM","106,9500","72,0750","90","SMD Comm X7R, Ceramic, 0.1 uF, 10%, 16 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0402"
"C15","4.7uF","TopLayer","LMK107_TAY","110,0222","69,2250","0","No Description Available"
"C16","100nF","TopLayer","CAPC17595_90N_KEM","71,2500","88,0000","0","SMD Comm X5R, Ceramic, 0.1 uF, 10%, 6.3 VDC, X5R, SMD, MLCC, Temperature Stable, Class II, 0603"
"C17","6pF","TopLayer","CAP_06033D104JAT2A","80,9000","79,7750","180","No Description Available"
"C18","6pF","TopLayer","CAP_06033D104JAT2A","82,5000","76,5000","270","No Description Available"
"CR1","USBLC6-2SC6","TopLayer","SOT23-6L_STM","109,7501","81,7500","0","ESD Protection for USB 2.0 High Speed"
"CR3","ESDA7P60-1U1M","TopLayer","ZDO_1610_STM","113,2500","77,0000","0","60 A - 8/20 us, 5 V TVS in QFN-2L"
"D1","LTST-S270KRKT","TopLayer","0603","117,2500","68,7500","180","http://octopart.com/ltst-c190tbkt-lite-on-550003"
"D2","LTST-S270KRKT","TopLayer","0603","76,5000","71,7500","0","http://octopart.com/ltst-c190tbkt-lite-on-550003"
"D3","LTST-S270KRKT","TopLayer","0603","117,2500","70,7500","180","http://octopart.com/ltst-c190tbkt-lite-on-550003"
"J1","6130XX11121_61301611121","TopLayer","61301611121","91,4400","94,6910","0",""
"J2","6130XX11121_61301611121","TopLayer","61301611121","91,4400","63,1950","0",""
"J4","10118194-0001LF","TopLayer","AMPHENOL_10118194-0001LF","117,1500","82,2500","90","Micro USB, Input Output Connectors, B TYPE RECEPTACLE with flange"
"R1","10k","TopLayer","RC0402N_YAG","109,5500","75,4250","0","RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.0630W"
"R2","10k","TopLayer","RC0402N_YAG","107,5000","78,0000","180","RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.0630W"
"R3","330","TopLayer","STA_RMCF0603_STP","114,0000","68,7500","180","No Description Available"
"R4","10k","TopLayer","RC0402N_YAG","92,3250","88,8500","0","RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.0630W"
"R5","330","TopLayer","STA_RMCF0603_STP","79,4660","71,6840","0","No Description Available"
"R6","330","TopLayer","STA_RMCF0603_STP","114,0000","70,7500","180","No Description Available"
"R7","4.7k","TopLayer","YAG_R0402_YAG","99,0428","66,5000","180","Description"
"R8","4.7k","TopLayer","YAG_R0402_YAG","96,7928","66,5000","0","Description"
"S1","430182043816","TopLayer","430182043816","66,0000","87,8330","270","6*6mm vertical type, SMT, height 4.3mm, black actuator, 160gf, T&R"
"U1","STM32H7A3VIT6","TopLayer","LQFP100","95,4640","78,0540","0","High-performance and DSP with DP-FPU, Arm Cortex-M7  MCU with 2MBytes of Flash memory, 1376 KB SRAM, 280 MHz CPU, L1 cache, graphic accelerations, external memory interfaces, SMPS and large set of peripherals"
"U2","ST1L05CPU33R","TopLayer","DFN6_3X3_STM","109,5610","71,7040","0","Very low quiescent BiCMOS voltage regulator"
"Y1","ECS-250-6-37-JTN-TR","TopLayer","XTAL_ECS-250-6-37-JTN-TR","80,4750","76,3250","270","SMD Crystal 2.0 x 1.6 x 0.45 mm ceramic package"
